WorkNumber,BarrelBatch,MixingTime1,MixingTime2,MixingTime3,TempSet,SandDischatge_Tem,Packaging_Temp,SandWeight_E,SandWeight_L,SandWeight_E,SandWeight_4C,SandWeight_5V,SandWeight_6C,SandWeight_9R,SandWeight_4V,SandWeight_5C,SandWeight_6V,SandWeight_S5,SandWeight_4R,SandWeight_6R,SandWeight_9V,Resin_RA,Resin_PR877,Resin_K2032,Resin_PR853,Resin_RM893,Resin_RB,Resin_RN815,Resin_KL130,Resin_KL1430L,Resin_KL2031,Resin_Liquid,Hardener_30,Hardener_40,Water,Weight_Calcium,Weight_RedIron,Aumosphere_Temp,Atmosphere_humidty,GrainSize,AFS,UnityPoint,FallingTest,
110000050728 ,1,50,60,15,135,74,36,0.0,0.0,0.0,0.0,105.5,0.0,0.0,0.0,155.0,144.5,0.0,0.0,95.0,0.0,0.00,0.00,0.00,0.00,0.00,7.02,0.00,2.30,0.00,2.35,0.00,5.07,0.00,3.30,0.583,0.00,22,58.4,62.9,62.33,98,217,
110000050728 ,4,50,60,15,135,79,35,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,162.5,134.5,0.0,0.0,93.5,0.0,0.00,0.00,0.00,0.00,0.00,6.96,0.00,2.38,0.00,2.27,0.00,5.02,0.00,3.33,0.593,0.00,21.8,59,64.8,59.25,98,222,
110000050728 ,11,50,60,15,135,80,35,0.0,0.0,0.0,0.0,103.5,0.0,0.0,0.0,161.5,137.0,0.0,0.0,92.0,0.0,0.00,0.00,0.00,0.00,0.00,7.00,0.00,2.34,0.00,2.26,0.00,5.04,0.00,3.33,0.606,0.00,21.5,58.5,64.3,62.77,98,215,
110000051000 ,1,50,60,15,130,76,43,0.0,0.0,0.0,0.0,147.5,157.5,0.0,0.0,0.0,0.0,0.0,96.5,93.0,0.0,0.00,0.00,0.00,0.00,0.00,6.63,0.00,2.22,0.00,2.23,0.00,4.80,0.00,2.99,0.492,0.00,21.8,59.9,59.4,63.45,96,229,
110000051000 ,4,50,60,15,130,80,42,0.0,0.0,0.0,0.0,146.0,160.5,0.0,0.0,0.0,0.0,0.0,101.0,94.5,0.0,0.00,0.00,0.00,0.00,0.00,6.78,0.00,2.28,0.00,2.28,0.00,4.89,0.00,2.97,0.512,0.00,21.9,59.7,59.2,60.53,96,222,
110000051000 ,15,50,60,15,130,80,42,0.0,0.0,0.0,0.0,146.0,162.0,0.0,0.0,0.0,0.0,0.0,97.0,92.5,0.0,0.00,0.00,0.00,0.00,0.00,6.72,0.00,2.24,0.00,2.24,0.00,4.84,0.00,2.98,0.513,0.00,22.1,59.6,59.7,62.93,97,224,
110000051131 ,1,50,60,15,130,75,35,0.0,0.0,0.0,0.0,0.0,129.5,0.0,0.0,93.0,91.5,86.5,0.0,102.5,0.0,0.00,0.00,0.00,0.00,0.00,7.53,0.00,2.46,0.00,2.49,0.00,5.62,0.00,2.60,0.503,0.00,21.2,52.6,67.9,60.9,99,228,
110000051452 ,1,50,60,15,130,78,34,0,0,0,0,237.5,167.5,0,0,0,0,0,0,92.5,0,0,0,0,0,0,6.99,0,2.34,0,2.3,0,5.04,0,3.33,0.55,0,19.6,47.3,65.4,61.65,98,214,
110000051452 ,4,50,60,15,130,83,33,0,0,0,0,238,158.5,0,0,0,0,0,0,92.5,0,0,0,0,0,0,6.85,0,2.32,0,2.28,0,5.03,0,3.22,0.531,0,19.6,46.9,66.9,57.6,98,226,
110000051647 ,1,50,60,15,130,76,43,0.0,0.0,0.0,0.0,122.0,108.5,0.0,0.0,0.0,128.0,134.5,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,6.34,0.00,2.07,0.00,2.10,0.00,4.57,0.00,3.56,0.508,0.00,20.4,48.7,68.6,57.98,99,244,
110000051647 ,8,50,60,15,130,79,48,0.0,0.0,0.0,0.0,123.0,104.5,0.0,0.0,0.0,134.5,136.5,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,6.65,0.00,2.20,0.00,2.22,0.00,4.80,0.00,3.45,0.530,0.00,20.2,49.8,67.1,60.3,98,242,
110000051847 ,1,50,60,15,132,76,38,0,0,0,0,139,0,0,0,177,198.5,0,0,0,0,0,0,0,0,0,7.39,0,2.47,0,2.38,0,5.34,0,2.94,0.513,0,19,62.1,61,65.18,96,203,
110000051847 ,4,50,60,15,132,81,44,0,0,0,0,131.5,0,0,0,178.5,190,0,0,0,0,0,0,0,0,0,7.18,0,2.41,0,2.37,0,5.23,0,2.84,0.507,0,19.1,61.6,58.6,61.5,97,226,
110000051847 ,15,50,60,15,132,82,44,0,0,0,0,132,0,0,0,176,189,0,0,0,0,0,0,0,0,0,7.09,0,2.43,0,2.34,0,5.2,0,2.83,0.501,0,19.3,60.6,79.3,64.73,96,226,
110000052139 ,1,50,60,15,128,75,37,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,112.5,96.0,94.0,0.0,97.5,0.0,0.00,0.00,0.00,0.00,0.00,7.02,0.00,2.35,0.00,2.36,0.00,5.08,0.00,3.34,0.516,0.00,22.4,58.8,60.7,62.03,98,217,
